"Year", "AirT"
"1950", 8.33701351228336
"1951", 8.27926008891671
"1952", 7.73169381625421
"1953", 8.59871213657093
"1954", 7.56909572122848
"1955", 7.14164367598826
"1956", 6.71303263683727
"1957", 8.35065734759483
"1958", 8.07057516207434
"1959", 8.86057514441646
"1960", 8.30907085252916
"1961", 8.60775323225925
"1962", 6.6686299879308
"1963", 6.53704094977616
"1964", 7.73546430797321
"1965", 7.21394504423521
"1966", 8.22383543262131
"1967", 8.50780802901375
"1968", 7.69046430897904
"1969", 7.47484914799259
"1970", 7.53057517414428
"1971", 7.99862995820299
"1972", 7.31497251409325
"1973", 7.89243817975464
"1974", 8.59964364339942
"1975", 8.64720528617195
"1976", 8.2130052809059
"1977", 8.47054775587398
"1978", 7.52909572212255
"1979", 7.40862997139051
"1980", 7.39174846866132
"1981", 7.83167105782522
"1982", 8.55953405525484
"1983", 8.5968765201736
"1984", 7.64002715163645
"1985", 6.98520532332055
"1986", 7.74835599119431
"1987", 7.09747929341377
"1988", 8.88683040245675
"1989", 9.1373422615179
"1990", 9.19334226026621
"1991", 8.01997242347937
"1992", 8.90442603047876
"1993", 8.30841077319665
"1994", 9.58619156655383
"1995", 8.4983559744305
"1996", 6.71062826530631
"1997", 8.50958885089175
"1998", 8.62778062907188
"1999", 9.17079431556471
"2000", 9.40737683890907
"2001", 8.74846555788121
"2002", 9.1177258236002
"2003", 8.98131486774512
"2004", 8.454316750922
"2005", 8.82246555622718
"2006", 9.14780801470864
"2007", 9.39161622843718
"2008", 9.10789597128604
"2009", 8.81369843313547
"2010", 7.58115051547958
"2011", 9.39243814622703
"2012", 8.8492894196893
"2013", 8.52271213826966
"2014", 10.0812052541196
"2015", 9.82117786267134
"2016", 9.22243148785166
"2017", 9.32364362721676
