B_Jahr;B_Monat ;B_Tag  ;iday;B_Bae_ver_m;B_Bae_ver_f;B_Bae_rho_m;B_Bae_roh_f;B_Eph_muc_m;B_Eph_muc_f;B_Eph_ign_m;B_Eph_ign_f;B_Cen_lut_m;B_Cen_lut_f;B_Par_sub_m;B_Par_sub_f;B_Amp_sta_m;B_Amp_sta_f;B_Bra_ris_m;B_Bra_ris_f;B_Iso_goe_m;B_Iso_goe_f;B_Leu_dig_m;B_Leu_dig_f;B_Leu_nig_m;B_Leu_nig_f;B_Leu_pri_m;B_Leu_pri_f;B_Nem_cam_m;B_Nem_cam_f;B_Nem_fle_m;B_Nem_fle_f;B_Nem_mar_m;B_Nem_mar_f;B_Nrl_pic_m;B_Nrl_pic_f;B_Pro_aub_m;B_Pro_aub_f;B_Pro_int_m;B_Pro_int_f;B_Pro_mey_m;B_Pro_mey_f;B_Sip_tor_m;B_Sip_tor_f;B_Aga_fus_m;B_Aga_fus_f;B_Apa_fim_m;B_Apa_fim_f;B_Cha_vil_m;B_Cha_vil_f;B_Dru_ann_m;B_Dru_ann_f;B_Ple_con_m;B_Ple_con_f;B_Pot_luc_m;B_Pot_luc_f;B_Rhy_fas_m;B_Rhy_fas_f;B_Ser_per_m;B_Ser_per_f;B_Sil_pal_m;B_Sil_pal_f;B_Tin_ros_m;B_Tin_ros_f;B_Wor_occ_m;B_Wor_occ_f
2007;1;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;1;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;1;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;1;29;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;2;1;;;;;;;;;;;;;;;;;;;;;;;;3;9;;;;;;;;;;;;;3;9;;;;;;;;;;;;;;;;;;;;;;;;
2007;2;5;;;;;;;;;;;;;;;;;;;;;;;;6;5;;;;;;;;;;;;;6;5;;;;;;;;;;;;;;;;;;;;;;;;
2007;2;8;;;;;;;;;;;;;;;;;;;;;;;;9;11;;;;;;;;;;;;;9;11;;;;;;;;;;;;;;;;;;;;;;;;
2007;2;12;;;;;;;;;;;;;;;;;;;;;;;;10;24;;;;;;;;;;;;;10;24;;;;;;;;;;;;;;;;;;;;;;;;
2007;2;15;;;;;;;;;;;;;;;;;;;;;;;;44;41;;;;;;;;;;;;;44;41;;;;;;;;;;;;;;;;;;;;;;;;
2007;2;19;;;;;;;;;;;;;;;;;;;;;;;;22;26;;;;;;;;;;;;;22;26;;;;;;;;;;;;;;;;;;;;;;;;
